company_id,previous_year,year,previous_pattern,current_pattern,changed
AMBUJACEM,2020,2021,Reinvestor,Reinvestor,False
AMBUJACEM,2021,2023,Reinvestor,Mixed,True
AMBUJACEM,2023,2024,Mixed,Mixed,False
APOLLOHOSP,2013,2014,Mixed,Reinvestor,True
APOLLOHOSP,2014,2015,Reinvestor,Mixed,True
APOLLOHOSP,2015,2016,Mixed,Mixed,False
APOLLOHOSP,2016,2017,Mixed,Mixed,False
APOLLOHOSP,2017,2018,Mixed,Reinvestor,True
APOLLOHOSP,2018,2019,Reinvestor,Reinvestor,False
APOLLOHOSP,2019,2020,Reinvestor,Reinvestor,False
APOLLOHOSP,2020,2021,Reinvestor,Reinvestor,False
APOLLOHOSP,2021,2022,Reinvestor,Reinvestor,False
APOLLOHOSP,2022,2023,Reinvestor,Reinvestor,False
APOLLOHOSP,2023,2024,Reinvestor,Reinvestor,False
ASIANPAINT,2013,2014,Reinvestor,Reinvestor,False
ASIANPAINT,2014,2015,Reinvestor,Reinvestor,False
ASIANPAINT,2015,2016,Reinvestor,Reinvestor,False
ASIANPAINT,2016,2017,Reinvestor,Reinvestor,False
ASIANPAINT,2017,2018,Reinvestor,Reinvestor,False
ASIANPAINT,2018,2019,Reinvestor,Reinvestor,False
ASIANPAINT,2019,2020,Reinvestor,Reinvestor,False
ASIANPAINT,2020,2021,Reinvestor,Reinvestor,False
ASIANPAINT,2021,2022,Reinvestor,Reinvestor,False
ASIANPAINT,2022,2023,Reinvestor,Reinvestor,False
ASIANPAINT,2023,2024,Reinvestor,Reinvestor,False
ATGL,2018,2019,Mixed,Liquidating Assets,True
ATGL,2019,2020,Liquidating Assets,Reinvestor,True
ATGL,2020,2021,Reinvestor,Mixed,True
ATGL,2021,2022,Mixed,Mixed,False
ATGL,2022,2023,Mixed,Mixed,False
ATGL,2023,2024,Mixed,Reinvestor,True
AXISBANK,2013,2014,Mixed,Mixed,False
AXISBANK,2014,2015,Mixed,Growth Funded by Debt,True
AXISBANK,2015,2016,Growth Funded by Debt,Distress Signal,True
AXISBANK,2016,2017,Distress Signal,Reinvestor,True
AXISBANK,2017,2018,Reinvestor,Growth Funded by Debt,True
AXISBANK,2018,2019,Growth Funded by Debt,Mixed,True
AXISBANK,2019,2020,Mixed,Mixed,False
AXISBANK,2020,2021,Mixed,Mixed,False
AXISBANK,2021,2022,Mixed,Mixed,False
AXISBANK,2022,2023,Mixed,Mixed,False
AXISBANK,2023,2024,Mixed,Growth Funded by Debt,True
BAJAJ-AUTO,2013,2014,Reinvestor,Reinvestor,False
BAJAJ-AUTO,2014,2015,Reinvestor,Reinvestor,False
BAJAJ-AUTO,2015,2016,Reinvestor,Reinvestor,False
BAJAJ-AUTO,2016,2017,Reinvestor,Reinvestor,False
BAJAJ-AUTO,2017,2018,Reinvestor,Reinvestor,False
BAJAJ-AUTO,2018,2019,Reinvestor,Reinvestor,False
BAJAJ-AUTO,2019,2020,Reinvestor,Liquidating Assets,True
BAJAJ-AUTO,2020,2021,Liquidating Assets,Reinvestor,True
BAJAJ-AUTO,2021,2022,Reinvestor,Liquidating Assets,True
BAJAJ-AUTO,2022,2023,Liquidating Assets,Liquidating Assets,False
BAJAJ-AUTO,2023,2024,Liquidating Assets,Reinvestor,True
BAJAJFINSV,2013,2014,Distress Signal,Distress Signal,False
BAJAJFINSV,2014,2015,Distress Signal,Distress Signal,False
BAJAJFINSV,2015,2016,Distress Signal,Growth Funded by Debt,True
BAJAJFINSV,2016,2017,Growth Funded by Debt,Distress Signal,True
BAJAJFINSV,2017,2018,Distress Signal,Growth Funded by Debt,True
BAJAJFINSV,2018,2019,Growth Funded by Debt,Growth Funded by Debt,False
BAJAJFINSV,2019,2020,Growth Funded by Debt,Growth Funded by Debt,False
BAJAJFINSV,2020,2021,Growth Funded by Debt,Mixed,True
BAJAJFINSV,2021,2022,Mixed,Distress Signal,True
BAJAJFINSV,2022,2023,Distress Signal,Growth Funded by Debt,True
BAJAJFINSV,2023,2024,Growth Funded by Debt,Growth Funded by Debt,False
BAJAJHLDNG,2013,2014,Reinvestor,Reinvestor,False
BAJAJHLDNG,2014,2015,Reinvestor,Reinvestor,False
BAJAJHLDNG,2015,2016,Reinvestor,Liquidating Assets,True
BAJAJHLDNG,2016,2017,Liquidating Assets,Pre-Revenue,True
BAJAJHLDNG,2017,2018,Pre-Revenue,Reinvestor,True
BAJAJHLDNG,2018,2019,Reinvestor,Reinvestor,False
BAJAJHLDNG,2019,2020,Reinvestor,Reinvestor,False
BAJAJHLDNG,2020,2021,Reinvestor,Reinvestor,False
BAJAJHLDNG,2021,2022,Reinvestor,Reinvestor,False
BAJAJHLDNG,2022,2023,Reinvestor,Reinvestor,False
BAJAJHLDNG,2023,2024,Reinvestor,Reinvestor,False
BAJFINANCE,2015,2016,Growth Funded by Debt,Growth Funded by Debt,False
BAJFINANCE,2016,2017,Growth Funded by Debt,Growth Funded by Debt,False
BAJFINANCE,2017,2018,Growth Funded by Debt,Distress Signal,True
BAJFINANCE,2018,2019,Distress Signal,Growth Funded by Debt,True
BAJFINANCE,2019,2020,Growth Funded by Debt,Growth Funded by Debt,False
BAJFINANCE,2020,2021,Growth Funded by Debt,Growth Funded by Debt,False
BAJFINANCE,2021,2022,Growth Funded by Debt,Distress Signal,True
BAJFINANCE,2022,2023,Distress Signal,Growth Funded by Debt,True
BAJFINANCE,2023,2024,Growth Funded by Debt,Growth Funded by Debt,False
BANKBARODA,2013,2014,Reinvestor,Mixed,True
BANKBARODA,2014,2015,Mixed,Reinvestor,True
BANKBARODA,2015,2016,Reinvestor,Pre-Revenue,True
BANKBARODA,2016,2017,Pre-Revenue,Reinvestor,True
BANKBARODA,2017,2018,Reinvestor,Growth Funded by Debt,True
BANKBARODA,2018,2019,Growth Funded by Debt,Growth Funded by Debt,False
BANKBARODA,2019,2020,Growth Funded by Debt,Mixed,True
BANKBARODA,2020,2021,Mixed,Pre-Revenue,True
BANKBARODA,2021,2022,Pre-Revenue,Reinvestor,True
BANKBARODA,2022,2023,Reinvestor,Pre-Revenue,True
BANKBARODA,2023,2024,Pre-Revenue,Growth Funded by Debt,True
BEL,2013,2014,Mixed,Mixed,False
BEL,2014,2015,Mixed,Reinvestor,True
BEL,2015,2016,Reinvestor,Reinvestor,False
BEL,2016,2017,Reinvestor,Mixed,True
BEL,2017,2018,Mixed,Pre-Revenue,True
BEL,2018,2019,Pre-Revenue,Reinvestor,True
BEL,2019,2020,Reinvestor,Reinvestor,False
BEL,2020,2021,Reinvestor,Reinvestor,False
BEL,2021,2022,Reinvestor,Reinvestor,False
BEL,2022,2023,Reinvestor,Liquidating Assets,True
BEL,2023,2024,Liquidating Assets,Reinvestor,True
BHARTIARTL,2013,2014,Reinvestor,Mixed,True
BHARTIARTL,2014,2015,Mixed,Reinvestor,True
BHARTIARTL,2015,2016,Reinvestor,Reinvestor,False
BHARTIARTL,2016,2017,Reinvestor,Reinvestor,False
BHARTIARTL,2017,2018,Reinvestor,Mixed,True
BHARTIARTL,2018,2019,Mixed,Mixed,False
BHARTIARTL,2019,2020,Mixed,Mixed,False
BHARTIARTL,2020,2021,Mixed,Reinvestor,True
BHARTIARTL,2021,2022,Reinvestor,Reinvestor,False
BHARTIARTL,2022,2023,Reinvestor,Reinvestor,False
BHARTIARTL,2023,2024,Reinvestor,Reinvestor,False
BHEL,2013,2014,Mixed,Mixed,False
BHEL,2014,2015,Mixed,Liquidating Assets,True
BHEL,2015,2016,Liquidating Assets,Liquidating Assets,False
BHEL,2016,2017,Liquidating Assets,Reinvestor,True
BHEL,2017,2018,Reinvestor,Liquidating Assets,True
BHEL,2018,2019,Liquidating Assets,Mixed,True
BHEL,2019,2020,Mixed,Distress Signal,True
BHEL,2020,2021,Distress Signal,Reinvestor,True
BHEL,2021,2022,Reinvestor,Reinvestor,False
BHEL,2022,2023,Reinvestor,Distress Signal,True
BHEL,2023,2024,Distress Signal,Distress Signal,False
BOSCHLTD,2012,2013,Reinvestor,Reinvestor,False
BOSCHLTD,2013,2015,Reinvestor,Reinvestor,False
BOSCHLTD,2015,2016,Reinvestor,Reinvestor,False
BOSCHLTD,2016,2017,Reinvestor,Liquidating Assets,True
BOSCHLTD,2017,2018,Liquidating Assets,Reinvestor,True
BOSCHLTD,2018,2019,Reinvestor,Liquidating Assets,True
BOSCHLTD,2019,2020,Liquidating Assets,Reinvestor,True
BOSCHLTD,2020,2021,Reinvestor,Reinvestor,False
BOSCHLTD,2021,2022,Reinvestor,Reinvestor,False
BOSCHLTD,2022,2023,Reinvestor,Liquidating Assets,True
BOSCHLTD,2023,2024,Liquidating Assets,Liquidating Assets,False
BPCL,2013,2014,Reinvestor,Reinvestor,False
BPCL,2014,2015,Reinvestor,Reinvestor,False
BPCL,2015,2016,Reinvestor,Reinvestor,False
BPCL,2016,2017,Reinvestor,Mixed,True
BPCL,2017,2018,Mixed,Reinvestor,True
BPCL,2018,2019,Reinvestor,Mixed,True
BPCL,2019,2020,Mixed,Mixed,False
BPCL,2020,2021,Mixed,Reinvestor,True
BPCL,2021,2022,Reinvestor,Reinvestor,False
BPCL,2022,2023,Reinvestor,Reinvestor,False
BPCL,2023,2024,Reinvestor,Reinvestor,False
BRITANNIA,2013,2014,Liquidating Assets,Reinvestor,True
BRITANNIA,2014,2015,Reinvestor,Reinvestor,False
BRITANNIA,2015,2016,Reinvestor,Reinvestor,False
BRITANNIA,2016,2017,Reinvestor,Reinvestor,False
BRITANNIA,2017,2018,Reinvestor,Reinvestor,False
BRITANNIA,2018,2019,Reinvestor,Reinvestor,False
BRITANNIA,2019,2020,Reinvestor,Mixed,True
BRITANNIA,2020,2021,Mixed,Liquidating Assets,True
BRITANNIA,2021,2022,Liquidating Assets,Liquidating Assets,False
BRITANNIA,2022,2023,Liquidating Assets,Reinvestor,True
BRITANNIA,2023,2024,Reinvestor,Liquidating Assets,True
CANBK,2013,2014,Reinvestor,Reinvestor,False
CANBK,2014,2015,Reinvestor,Reinvestor,False
CANBK,2015,2016,Reinvestor,Reinvestor,False
CANBK,2016,2017,Reinvestor,Mixed,True
CANBK,2017,2018,Mixed,Growth Funded by Debt,True
CANBK,2018,2019,Growth Funded by Debt,Reinvestor,True
CANBK,2019,2020,Reinvestor,Growth Funded by Debt,True
CANBK,2020,2021,Growth Funded by Debt,Mixed,True
CANBK,2021,2022,Mixed,Mixed,False
CANBK,2022,2023,Mixed,Growth Funded by Debt,True
CANBK,2023,2024,Growth Funded by Debt,Reinvestor,True
CHOLAFIN,2013,2014,Distress Signal,Growth Funded by Debt,True
CHOLAFIN,2014,2015,Growth Funded by Debt,Growth Funded by Debt,False
CHOLAFIN,2015,2016,Growth Funded by Debt,Growth Funded by Debt,False
CHOLAFIN,2016,2017,Growth Funded by Debt,Growth Funded by Debt,False
CHOLAFIN,2017,2018,Growth Funded by Debt,Growth Funded by Debt,False
CHOLAFIN,2018,2019,Growth Funded by Debt,Growth Funded by Debt,False
CHOLAFIN,2019,2020,Growth Funded by Debt,Growth Funded by Debt,False
CHOLAFIN,2020,2021,Growth Funded by Debt,Growth Funded by Debt,False
CHOLAFIN,2021,2022,Growth Funded by Debt,Distress Signal,True
CHOLAFIN,2022,2023,Distress Signal,Growth Funded by Debt,True
CHOLAFIN,2023,2024,Growth Funded by Debt,Growth Funded by Debt,False
CIPLA,2013,2014,Mixed,Reinvestor,True
CIPLA,2014,2015,Reinvestor,Mixed,True
CIPLA,2015,2016,Mixed,Mixed,False
CIPLA,2016,2017,Mixed,Reinvestor,True
CIPLA,2017,2018,Reinvestor,Reinvestor,False
CIPLA,2018,2019,Reinvestor,Reinvestor,False
CIPLA,2019,2020,Reinvestor,Liquidating Assets,True
CIPLA,2020,2021,Liquidating Assets,Reinvestor,True
CIPLA,2021,2022,Reinvestor,Reinvestor,False
CIPLA,2022,2023,Reinvestor,Reinvestor,False
CIPLA,2023,2024,Reinvestor,Reinvestor,False
COALINDIA,2013,2014,Reinvestor,Liquidating Assets,True
COALINDIA,2014,2015,Liquidating Assets,Liquidating Assets,False
COALINDIA,2015,2016,Liquidating Assets,Liquidating Assets,False
COALINDIA,2016,2017,Liquidating Assets,Liquidating Assets,False
COALINDIA,2017,2018,Liquidating Assets,Reinvestor,True
COALINDIA,2018,2019,Reinvestor,Reinvestor,False
COALINDIA,2019,2020,Reinvestor,Liquidating Assets,True
COALINDIA,2020,2021,Liquidating Assets,Liquidating Assets,False
COALINDIA,2021,2022,Liquidating Assets,Reinvestor,True
COALINDIA,2022,2023,Reinvestor,Reinvestor,False
COALINDIA,2023,2024,Reinvestor,Reinvestor,False
DABUR,2013,2014,Reinvestor,Reinvestor,False
DABUR,2014,2015,Reinvestor,Reinvestor,False
DABUR,2015,2016,Reinvestor,Reinvestor,False
DABUR,2016,2017,Reinvestor,Reinvestor,False
DABUR,2017,2018,Reinvestor,Reinvestor,False
DABUR,2018,2019,Reinvestor,Liquidating Assets,True
DABUR,2019,2020,Liquidating Assets,Reinvestor,True
DABUR,2020,2021,Reinvestor,Reinvestor,False
DABUR,2021,2022,Reinvestor,Reinvestor,False
DABUR,2022,2023,Reinvestor,Reinvestor,False
DABUR,2023,2024,Reinvestor,Reinvestor,False
DIVISLAB,2013,2014,Reinvestor,Reinvestor,False
DIVISLAB,2014,2015,Reinvestor,Reinvestor,False
DIVISLAB,2015,2016,Reinvestor,Reinvestor,False
DIVISLAB,2016,2017,Reinvestor,Mixed,True
DIVISLAB,2017,2018,Mixed,Reinvestor,True
DIVISLAB,2018,2019,Reinvestor,Reinvestor,False
DIVISLAB,2019,2020,Reinvestor,Reinvestor,False
DIVISLAB,2020,2021,Reinvestor,Liquidating Assets,True
DIVISLAB,2021,2022,Liquidating Assets,Reinvestor,True
DIVISLAB,2022,2023,Reinvestor,Reinvestor,False
DIVISLAB,2023,2024,Reinvestor,Reinvestor,False
DLF,2013,2014,Liquidating Assets,Liquidating Assets,False
DLF,2014,2015,Liquidating Assets,Liquidating Assets,False
DLF,2015,2016,Liquidating Assets,Reinvestor,True
DLF,2016,2017,Reinvestor,Distress Signal,True
DLF,2017,2018,Distress Signal,Reinvestor,True
DLF,2018,2019,Reinvestor,Cash Accumulator,True
DLF,2019,2020,Cash Accumulator,Liquidating Assets,True
DLF,2020,2021,Liquidating Assets,Liquidating Assets,False
DLF,2021,2022,Liquidating Assets,Liquidating Assets,False
DLF,2022,2023,Liquidating Assets,Reinvestor,True
DLF,2023,2024,Reinvestor,Mixed,True
DMART,2013,2014,Mixed,Mixed,False
DMART,2014,2015,Mixed,Mixed,False
DMART,2015,2016,Mixed,Mixed,False
DMART,2016,2017,Mixed,Mixed,False
DMART,2017,2018,Mixed,Liquidating Assets,True
DMART,2018,2019,Liquidating Assets,Mixed,True
DMART,2019,2020,Mixed,Mixed,False
DMART,2020,2021,Mixed,Reinvestor,True
DMART,2021,2022,Reinvestor,Reinvestor,False
DMART,2022,2023,Reinvestor,Reinvestor,False
DMART,2023,2024,Reinvestor,Reinvestor,False
DRREDDY,2013,2014,Reinvestor,Reinvestor,False
DRREDDY,2014,2015,Reinvestor,Reinvestor,False
DRREDDY,2015,2016,Reinvestor,Reinvestor,False
DRREDDY,2016,2017,Reinvestor,Reinvestor,False
DRREDDY,2017,2018,Reinvestor,Reinvestor,False
DRREDDY,2018,2019,Reinvestor,Reinvestor,False
DRREDDY,2019,2020,Reinvestor,Reinvestor,False
DRREDDY,2020,2021,Reinvestor,Reinvestor,False
DRREDDY,2021,2022,Reinvestor,Reinvestor,False
DRREDDY,2022,2023,Reinvestor,Reinvestor,False
DRREDDY,2023,2024,Reinvestor,Reinvestor,False
EICHERMOT,2012,2013,Reinvestor,Reinvestor,False
EICHERMOT,2013,2014,Reinvestor,Reinvestor,False
EICHERMOT,2014,2016,Reinvestor,Reinvestor,False
EICHERMOT,2016,2017,Reinvestor,Mixed,True
EICHERMOT,2017,2018,Mixed,Reinvestor,True
EICHERMOT,2018,2019,Reinvestor,Reinvestor,False
EICHERMOT,2019,2020,Reinvestor,Reinvestor,False
EICHERMOT,2020,2021,Reinvestor,Reinvestor,False
EICHERMOT,2021,2022,Reinvestor,Reinvestor,False
EICHERMOT,2022,2023,Reinvestor,Reinvestor,False
EICHERMOT,2023,2024,Reinvestor,Reinvestor,False
GAIL,2013,2014,Mixed,Reinvestor,True
GAIL,2014,2015,Reinvestor,Reinvestor,False
GAIL,2015,2016,Reinvestor,Reinvestor,False
GAIL,2016,2017,Reinvestor,Reinvestor,False
GAIL,2017,2018,Reinvestor,Reinvestor,False
GAIL,2018,2019,Reinvestor,Reinvestor,False
GAIL,2019,2020,Reinvestor,Mixed,True
GAIL,2020,2021,Mixed,Reinvestor,True
GAIL,2021,2022,Reinvestor,Reinvestor,False
GAIL,2022,2023,Reinvestor,Mixed,True
GAIL,2023,2024,Mixed,Reinvestor,True
GODREJCP,2013,2014,Mixed,Reinvestor,True
GODREJCP,2014,2015,Reinvestor,Reinvestor,False
GODREJCP,2015,2016,Reinvestor,Reinvestor,False
GODREJCP,2016,2017,Reinvestor,Mixed,True
GODREJCP,2017,2018,Mixed,Reinvestor,True
GODREJCP,2018,2019,Reinvestor,Liquidating Assets,True
GODREJCP,2019,2020,Liquidating Assets,Reinvestor,True
GODREJCP,2020,2021,Reinvestor,Reinvestor,False
GODREJCP,2021,2022,Reinvestor,Reinvestor,False
GODREJCP,2022,2023,Reinvestor,Reinvestor,False
GODREJCP,2023,2024,Reinvestor,Mixed,True
GRASIM,2013,2014,Mixed,Reinvestor,True
GRASIM,2014,2015,Reinvestor,Reinvestor,False
GRASIM,2015,2016,Reinvestor,Reinvestor,False
GRASIM,2016,2017,Reinvestor,Reinvestor,False
GRASIM,2017,2018,Reinvestor,Distress Signal,True
GRASIM,2018,2019,Distress Signal,Growth Funded by Debt,True
GRASIM,2019,2020,Growth Funded by Debt,Reinvestor,True
GRASIM,2020,2021,Reinvestor,Reinvestor,False
GRASIM,2021,2022,Reinvestor,Reinvestor,False
GRASIM,2022,2023,Reinvestor,Growth Funded by Debt,True
GRASIM,2023,2024,Growth Funded by Debt,Growth Funded by Debt,False
HAL,2017,2018,Mixed,Mixed,False
HAL,2018,2019,Mixed,Distress Signal,True
HAL,2019,2020,Distress Signal,Mixed,True
HAL,2020,2021,Mixed,Reinvestor,True
HAL,2021,2022,Reinvestor,Reinvestor,False
HAL,2022,2023,Reinvestor,Reinvestor,False
HAL,2023,2024,Reinvestor,Reinvestor,False
HAVELLS,2013,2014,Reinvestor,Reinvestor,False
HAVELLS,2014,2015,Reinvestor,Reinvestor,False
HAVELLS,2015,2016,Reinvestor,Reinvestor,False
HAVELLS,2016,2017,Reinvestor,Reinvestor,False
HAVELLS,2017,2018,Reinvestor,Reinvestor,False
HAVELLS,2018,2019,Reinvestor,Liquidating Assets,True
HAVELLS,2019,2020,Liquidating Assets,Reinvestor,True
HAVELLS,2020,2021,Reinvestor,Mixed,True
HAVELLS,2021,2022,Mixed,Reinvestor,True
HAVELLS,2022,2023,Reinvestor,Liquidating Assets,True
HAVELLS,2023,2024,Liquidating Assets,Reinvestor,True
HCLTECH,2013,2014,Reinvestor,Reinvestor,False
HCLTECH,2014,2015,Reinvestor,Reinvestor,False
HCLTECH,2015,2016,Reinvestor,Reinvestor,False
HCLTECH,2016,2017,Reinvestor,Reinvestor,False
HCLTECH,2017,2018,Reinvestor,Reinvestor,False
HCLTECH,2018,2019,Reinvestor,Reinvestor,False
HCLTECH,2019,2020,Reinvestor,Reinvestor,False
HCLTECH,2020,2021,Reinvestor,Reinvestor,False
HCLTECH,2021,2022,Reinvestor,Liquidating Assets,True
HCLTECH,2022,2023,Liquidating Assets,Reinvestor,True
HCLTECH,2023,2024,Reinvestor,Reinvestor,False
HDFCBANK,2013,2014,Growth Funded by Debt,Mixed,True
HDFCBANK,2014,2015,Mixed,Growth Funded by Debt,True
HDFCBANK,2015,2016,Growth Funded by Debt,Growth Funded by Debt,False
HDFCBANK,2016,2017,Growth Funded by Debt,Reinvestor,True
HDFCBANK,2017,2018,Reinvestor,Mixed,True
HDFCBANK,2018,2019,Mixed,Growth Funded by Debt,True
HDFCBANK,2019,2020,Growth Funded by Debt,Growth Funded by Debt,False
HDFCBANK,2020,2021,Growth Funded by Debt,Reinvestor,True
HDFCBANK,2021,2022,Reinvestor,Growth Funded by Debt,True
HDFCBANK,2022,2023,Growth Funded by Debt,Mixed,True
HDFCBANK,2023,2024,Mixed,Liquidating Assets,True
HDFCLIFE,2013,2014,Mixed,Mixed,False
HDFCLIFE,2014,2015,Mixed,Reinvestor,True
HDFCLIFE,2015,2016,Reinvestor,Reinvestor,False
HDFCLIFE,2016,2017,Reinvestor,Reinvestor,False
HDFCLIFE,2017,2018,Reinvestor,Reinvestor,False
HDFCLIFE,2018,2019,Reinvestor,Reinvestor,False
HDFCLIFE,2019,2020,Reinvestor,Mixed,True
HDFCLIFE,2020,2021,Mixed,Mixed,False
HDFCLIFE,2021,2022,Mixed,Reinvestor,True
HDFCLIFE,2022,2023,Reinvestor,Mixed,True
HDFCLIFE,2023,2024,Mixed,Reinvestor,True
HEROMOTOCO,2014,2015,Reinvestor,Liquidating Assets,True
HEROMOTOCO,2015,2016,Liquidating Assets,Reinvestor,True
HEROMOTOCO,2016,2017,Reinvestor,Reinvestor,False
HEROMOTOCO,2017,2018,Reinvestor,Reinvestor,False
HEROMOTOCO,2018,2019,Reinvestor,Liquidating Assets,True
HEROMOTOCO,2019,2020,Liquidating Assets,Reinvestor,True
HEROMOTOCO,2020,2021,Reinvestor,Reinvestor,False
HEROMOTOCO,2021,2022,Reinvestor,Reinvestor,False
HEROMOTOCO,2022,2023,Reinvestor,Reinvestor,False
HEROMOTOCO,2023,2024,Reinvestor,Reinvestor,False
HINDALCO,2013,2014,Mixed,Mixed,False
HINDALCO,2014,2015,Mixed,Reinvestor,True
HINDALCO,2015,2016,Reinvestor,Reinvestor,False
HINDALCO,2016,2017,Reinvestor,Reinvestor,False
HINDALCO,2017,2018,Reinvestor,Liquidating Assets,True
HINDALCO,2018,2019,Liquidating Assets,Reinvestor,True
HINDALCO,2019,2020,Reinvestor,Mixed,True
HINDALCO,2020,2021,Mixed,Reinvestor,True
HINDALCO,2021,2022,Reinvestor,Reinvestor,False
HINDALCO,2022,2023,Reinvestor,Reinvestor,False
HINDALCO,2023,2024,Reinvestor,Reinvestor,False
HINDUNILVR,2013,2014,Liquidating Assets,Reinvestor,True
HINDUNILVR,2014,2015,Reinvestor,Liquidating Assets,True
HINDUNILVR,2015,2016,Liquidating Assets,Reinvestor,True
HINDUNILVR,2016,2017,Reinvestor,Reinvestor,False
HINDUNILVR,2017,2018,Reinvestor,Reinvestor,False
HINDUNILVR,2018,2019,Reinvestor,Reinvestor,False
HINDUNILVR,2019,2020,Reinvestor,Liquidating Assets,True
HINDUNILVR,2020,2021,Liquidating Assets,Reinvestor,True
HINDUNILVR,2021,2022,Reinvestor,Reinvestor,False
HINDUNILVR,2022,2023,Reinvestor,Reinvestor,False
HINDUNILVR,2023,2024,Reinvestor,Reinvestor,False
ICICIBANK,2013,2014,Mixed,Mixed,False
ICICIBANK,2014,2015,Mixed,Growth Funded by Debt,True
ICICIBANK,2015,2016,Growth Funded by Debt,Mixed,True
ICICIBANK,2016,2017,Mixed,Reinvestor,True
ICICIBANK,2017,2018,Reinvestor,Mixed,True
ICICIBANK,2018,2019,Mixed,Reinvestor,True
ICICIBANK,2019,2020,Reinvestor,Mixed,True
ICICIBANK,2020,2021,Mixed,Reinvestor,True
ICICIBANK,2021,2022,Reinvestor,Mixed,True
ICICIBANK,2022,2023,Mixed,Growth Funded by Debt,True
ICICIBANK,2023,2024,Growth Funded by Debt,Mixed,True
ICICIGI,2013,2014,Mixed,Mixed,False
